num_in_agegroup,latent,total_inf,total_symp,total_asymp,total_vac,total_vac_symp,total_vac_asymp,total_vac_inf,total_vac_healthy,total_unvac_symp,total_unvac_asymp,total_unvac_inf,total_unvac_healthy
966,9485,956,450,506,207,93,113,206,1,357,393,750,9
990,0,0,0,0,249,0,0,0,249,0,0,0,741
915,9478,910,443,467,158,74,83,157,1,369,384,753,4
960,9476,946,457,489,167,66,96,162,5,391,393,784,9
943,9497,934,459,475,181,80,96,176,5,379,379,758,4
979,9506,969,475,494,178,76,99,175,3,399,395,794,7
1002,9522,990,501,489,267,131,133,264,3,370,356,726,9
972,9491,966,469,497,194,78,115,193,1,391,382,773,5
983,9454,977,457,520,225,100,122,222,3,357,398,755,3
1026,9438,1017,493,524,214,98,113,211,3,395,411,806,6
970,0,0,0,0,200,0,0,0,200,0,0,0,770
952,9503,944,460,484,235,113,116,229,6,347,368,715,2
999,9492,992,479,513,228,94,131,225,3,385,382,767,4
965,9552,962,497,465,179,83,95,178,1,414,370,784,2
926,9534,915,469,446,222,108,112,220,2,361,334,695,9
1028,9517,1021,506,515,214,105,105,210,4,401,410,811,3
982,0,0,0,0,256,0,0,0,256,0,0,0,726
970,9510,959,454,505,199,90,104,194,5,364,401,765,6
959,9483,953,471,482,197,85,110,195,2,386,372,758,4
950,9505,941,484,457,203,105,94,199,4,379,363,742,5
970,9527,960,498,462,210,96,111,207,3,402,351,753,7
974,9508,965,434,531,215,84,127,211,4,350,404,754,5
988,9453,975,477,498,239,114,121,235,4,363,377,740,9
890,9537,886,422,464,270,121,146,267,3,301,318,619,1
958,9535,948,454,494,243,106,132,238,5,348,362,710,5
922,9475,912,434,478,223,107,111,218,5,327,367,694,5
990,9510,979,469,510,191,79,109,188,3,390,401,791,8
911,9482,907,462,445,155,79,73,152,3,383,372,755,1
1009,9529,1002,475,527,173,77,94,171,2,398,433,831,5
937,9493,932,483,449,187,86,98,184,3,397,351,748,2
987,9511,978,472,506,284,116,164,280,4,356,342,698,5
1011,9520,1002,505,497,207,93,109,202,5,412,388,800,4
961,9504,948,463,485,255,115,137,252,3,348,348,696,10
922,9537,913,467,446,215,92,122,214,1,375,324,699,8
1030,9510,1020,496,524,231,96,132,228,3,400,392,792,7
984,9449,972,465,507,204,94,107,201,3,371,400,771,9
943,9511,932,454,478,205,93,109,202,3,361,369,730,8
1000,9521,990,480,510,209,99,105,204,5,381,405,786,5
942,9473,931,462,469,254,108,137,245,9,354,332,686,2
1020,9486,1014,506,508,272,114,155,269,3,392,353,745,3
907,9447,899,469,430,154,65,89,154,0,404,341,745,8
936,9512,929,470,459,172,90,80,170,2,380,379,759,5
951,9490,942,462,480,264,121,139,260,4,341,341,682,5
1024,9487,1011,494,517,263,110,144,254,9,384,373,757,4
939,9468,930,464,466,223,95,124,219,4,369,342,711,5
954,0,0,0,0,241,0,0,0,241,0,0,0,713
995,9499,983,498,485,229,102,122,224,5,396,363,759,7
1009,9511,1003,471,532,200,102,95,197,3,369,437,806,3
960,9482,954,476,478,266,136,128,264,2,340,350,690,4
977,9480,973,475,498,265,135,128,263,2,340,370,710,2
999,9508,988,473,515,262,110,143,253,9,363,372,735,2
954,9477,945,473,472,245,113,128,241,4,360,344,704,5
1017,4,0,0,0,263,0,0,0,263,0,0,0,754
1017,9467,1008,477,531,173,80,90,170,3,397,441,838,6
974,9453,959,500,459,190,78,107,185,5,422,352,774,10
994,9514,980,494,486,255,115,135,250,5,379,351,730,9
951,9542,942,445,497,224,107,114,221,3,338,383,721,6
984,9493,975,463,512,157,76,78,154,3,387,434,821,6
