num_in_agegroup,latent,total_inf,total_symp,total_asymp,total_vac,total_vac_symp,total_vac_asymp,total_vac_inf,total_vac_healthy,total_unvac_symp,total_unvac_asymp,total_unvac_inf,total_unvac_healthy
953,9455,947,473,474,245,107,136,243,2,366,338,704,4
1003,9540,996,499,497,188,84,101,185,3,415,396,811,4
976,9478,972,469,503,266,117,147,264,2,352,356,708,2
964,9483,947,507,440,240,113,121,234,6,394,319,713,11
974,9471,966,481,485,176,79,93,172,4,402,392,794,4
960,9517,952,462,490,210,96,112,208,2,366,378,744,6
923,9540,919,440,479,172,77,95,172,0,363,384,747,4
885,9471,874,451,423,227,120,106,226,1,331,317,648,10
977,9504,970,481,489,181,84,93,177,4,397,396,793,3
1041,9548,1028,497,531,222,98,120,218,4,399,411,810,9
1013,9558,1006,486,520,234,96,134,230,4,390,386,776,3
1023,9449,1017,502,515,199,99,97,196,3,403,418,821,3
951,9531,944,442,502,193,78,113,191,2,364,389,753,5
932,9499,921,444,477,202,85,114,199,3,359,363,722,8
957,9448,947,462,485,212,98,110,208,4,364,375,739,6
987,9482,976,487,489,198,86,109,195,3,401,380,781,8
953,9485,943,470,473,182,86,93,179,3,384,380,764,7
948,9465,939,450,489,217,98,115,213,4,352,374,726,5
944,9495,937,459,478,231,96,133,229,2,363,345,708,5
977,9485,969,457,512,263,120,138,258,5,337,374,711,3
977,9509,966,468,498,227,110,113,223,4,358,385,743,7
981,9493,970,467,503,257,110,140,250,7,357,363,720,4
942,9523,930,445,485,192,90,99,189,3,355,386,741,9
1004,9535,992,505,487,206,97,105,202,4,408,382,790,8
958,9493,946,477,469,215,97,114,211,4,380,355,735,8
976,9497,964,478,486,217,105,106,211,6,373,380,753,6
965,9479,960,455,505,232,100,130,230,2,355,375,730,3
1013,9494,1005,475,530,244,111,129,240,4,364,401,765,4
984,9453,974,454,520,234,101,129,230,4,353,391,744,6
897,9526,886,436,450,191,89,97,186,5,347,353,700,6
938,9435,930,463,467,206,93,110,203,3,370,357,727,5
946,9491,935,479,456,170,85,82,167,3,394,374,768,8
903,9517,897,430,467,158,69,86,155,3,361,381,742,3
991,9499,981,496,485,224,113,107,220,4,383,378,761,6
999,9425,984,468,516,234,106,122,228,6,362,394,756,9
976,9507,965,472,493,263,110,149,259,4,362,344,706,7
916,9518,911,470,441,194,89,103,192,2,381,338,719,3
953,9459,939,468,471,192,84,105,189,3,384,366,750,11
980,0,0,0,0,192,0,0,0,192,0,0,0,788
939,9484,933,443,490,238,108,127,235,3,335,363,698,3
950,9474,939,469,470,171,75,94,169,2,394,376,770,9
982,9480,974,484,490,210,99,110,209,1,385,380,765,7
