num_in_agegroup,latent,total_inf,total_symp,total_asymp,total_vac,total_vac_symp,total_vac_asymp,total_vac_inf,total_vac_healthy,total_unvac_symp,total_unvac_asymp,total_unvac_inf,total_unvac_healthy
985,9485,949,466,483,202,90,97,187,15,376,386,762,21
964,0,0,0,0,236,0,0,0,236,0,0,0,728
946,9478,902,436,466,203,93,100,193,10,343,366,709,34
953,9476,906,448,458,199,96,88,184,15,352,370,722,32
1020,9497,974,487,487,189,94,83,177,12,393,404,797,34
968,9506,933,455,478,207,98,97,195,12,357,381,738,23
982,9522,943,458,485,214,89,113,202,12,369,372,741,27
960,9491,928,461,467,185,82,97,179,6,379,370,749,26
965,9454,914,459,455,257,122,118,240,17,337,337,674,34
1019,9438,970,461,509,249,101,130,231,18,360,379,739,31
994,0,0,0,0,229,0,0,0,229,0,0,0,765
969,9503,934,447,487,239,104,126,230,9,343,361,704,26
949,9492,912,425,487,196,83,106,189,7,342,381,723,30
960,9552,913,443,470,194,87,97,184,10,356,373,729,37
1001,9534,961,476,485,231,105,113,218,13,371,372,743,27
936,9517,899,441,458,182,77,92,169,13,364,366,730,24
952,0,0,0,0,184,0,0,0,184,0,0,0,768
921,9510,883,442,441,193,92,89,181,12,350,352,702,26
1002,9483,959,459,500,203,96,98,194,9,363,402,765,34
1001,9505,962,466,496,219,98,107,205,14,368,389,757,25
989,9527,962,464,498,194,85,102,187,7,379,396,775,20
1050,9508,1011,495,516,222,102,110,212,10,393,406,799,29
894,9453,857,446,411,218,100,107,207,11,346,304,650,26
911,9537,885,402,483,211,72,128,200,11,330,355,685,15
971,9535,936,478,458,212,95,112,207,5,383,346,729,30
928,9475,894,446,448,227,98,119,217,10,348,329,677,24
1024,9510,985,502,483,195,84,96,180,15,418,387,805,24
1006,9482,949,470,479,181,65,103,168,13,405,376,781,44
988,9529,951,466,485,189,82,94,176,13,384,391,775,24
982,9493,941,442,499,214,80,120,200,14,362,379,741,27
950,9511,909,470,439,232,109,105,214,18,361,334,695,23
982,9520,938,429,509,175,72,92,164,11,357,417,774,33
974,9504,937,440,497,237,93,130,223,14,347,367,714,23
1012,9537,970,470,500,234,104,117,221,13,366,383,749,29
953,9510,909,463,446,201,79,109,188,13,384,337,721,31
949,9449,911,465,446,206,104,92,196,10,361,354,715,28
964,9511,915,451,464,174,71,88,159,15,380,376,756,34
924,9521,881,458,423,176,85,80,165,11,373,343,716,32
953,9473,922,441,481,218,88,118,206,12,353,363,716,19
1003,9486,965,468,497,277,128,138,266,11,340,359,699,27
974,9447,932,466,466,188,79,99,178,10,387,367,754,32
993,9512,949,467,482,186,86,86,172,14,381,396,777,30
974,9490,928,460,468,245,109,116,225,20,351,352,703,26
963,9487,917,475,442,254,113,122,235,19,362,320,682,27
1003,9468,959,453,506,235,111,113,224,11,342,393,735,33
938,0,0,0,0,174,0,0,0,174,0,0,0,764
1007,9499,962,471,491,244,102,126,228,16,369,365,734,29
1010,9511,961,435,526,216,86,111,197,19,349,415,764,30
932,9482,894,444,450,239,111,113,224,15,333,337,670,23
920,9480,892,439,453,233,94,129,223,10,345,324,669,18
1026,9508,977,461,516,238,92,131,223,15,369,385,754,34
951,9477,908,454,454,250,107,131,238,12,347,323,670,31
997,4,0,0,0,214,0,0,0,214,0,0,0,783
940,9467,889,460,429,163,73,73,146,17,387,356,743,34
997,9453,951,460,491,241,104,121,225,16,356,370,726,30
967,9514,928,448,480,239,109,121,230,9,339,359,698,30
948,9542,905,442,463,191,83,96,179,12,359,367,726,31
945,9493,900,450,450,193,86,94,180,13,364,356,720,32
956,9455,919,444,475,230,100,117,217,13,344,358,702,24
952,9540,922,446,476,195,88,97,185,10,358,379,737,20
1037,9478,991,485,506,264,104,145,249,15,381,361,742,31
933,9483,898,425,473,186,81,97,178,8,344,376,720,27
949,9471,899,410,489,177,63,100,163,14,347,389,736,36
927,9517,887,428,459,185,74,100,174,11,354,359,713,29
1011,9540,978,448,530,193,75,110,185,8,373,420,793,25
954,9471,909,440,469,226,91,120,211,15,349,349,698,30
939,9504,891,443,448,223,101,110,211,12,342,338,680,36
979,9548,936,432,504,229,97,119,216,13,335,385,720,30
914,9558,890,472,418,197,92,96,188,9,380,322,702,15
960,9449,918,479,439,221,104,102,206,15,375,337,712,27
974,9531,937,466,471,209,89,111,200,9,377,360,737,28
981,9499,937,447,490,225,105,108,213,12,342,382,724,32
940,9448,896,445,451,233,101,121,222,11,344,330,674,33
