num_in_agegroup,latent,total_inf,total_symp,total_asymp,total_vac,total_vac_symp,total_vac_asymp,total_vac_inf,total_vac_healthy,total_unvac_symp,total_unvac_asymp,total_unvac_inf,total_unvac_healthy
972,9482,936,451,485,204,81,112,193,11,370,373,743,25
940,9485,900,458,442,179,84,85,169,10,374,357,731,30
948,9465,915,459,456,165,69,85,154,11,390,371,761,22
964,9495,922,472,450,223,92,113,205,18,380,337,717,24
1013,9485,965,475,490,266,139,113,252,14,336,377,713,34
948,9509,907,458,449,216,95,111,206,10,363,338,701,31
954,9493,924,468,456,216,98,110,208,8,370,346,716,22
995,9523,938,478,460,229,109,105,214,15,369,355,724,42
925,9535,899,413,486,217,85,121,206,11,328,365,693,15
938,9493,906,448,458,196,83,103,186,10,365,355,720,22
977,9497,938,450,488,223,87,120,207,16,363,368,731,23
949,9479,908,445,463,212,95,103,198,14,350,360,710,27
977,9494,939,447,492,225,96,119,215,10,351,373,724,28
985,9453,943,466,477,253,107,130,237,16,359,347,706,26
944,9526,909,467,442,190,90,90,180,10,377,352,729,25
997,9435,949,480,469,234,122,98,220,14,358,371,729,34
1018,9491,970,496,474,179,82,88,170,9,414,386,800,39
982,9517,933,456,477,190,76,98,174,16,380,379,759,33
1006,9499,971,468,503,189,73,107,180,9,395,396,791,26
985,9425,941,481,460,215,93,109,202,13,388,351,739,31
943,9507,893,433,460,255,112,129,241,14,321,331,652,36
947,9518,903,427,476,228,99,119,218,10,328,357,685,34
969,9459,917,458,459,216,91,104,195,21,367,355,722,31
996,0,0,0,0,201,0,0,0,201,0,0,0,795
972,9484,928,449,479,224,98,112,210,14,351,367,718,30
1004,9474,953,498,455,184,90,81,171,13,408,374,782,38
999,9480,946,470,476,208,84,110,194,14,386,366,752,39
