num_in_agegroup,latent,total_inf,total_symp,total_asymp,total_vac,total_vac_symp,total_vac_asymp,total_vac_inf,total_vac_healthy,total_unvac_symp,total_unvac_asymp,total_unvac_inf,total_unvac_healthy
10000,9485,9486,4682,4804,3371,1435,1646,3081,290,3247,3158,6405,224
10000,0,1,1,0,3582,0,0,0,3582,1,0,1,6417
10000,9478,9479,4631,4848,3172,1348,1537,2885,287,3283,3311,6594,234
10000,9476,9477,4731,4746,3175,1372,1522,2894,281,3359,3224,6583,242
10000,9497,9498,4682,4816,3188,1388,1507,2895,293,3294,3309,6603,209
10000,9506,9507,4635,4872,3129,1343,1519,2862,267,3292,3353,6645,226
10000,9522,9523,4682,4841,3452,1527,1672,3199,253,3155,3169,6324,224
10000,9491,9492,4683,4809,3052,1331,1469,2800,252,3352,3340,6692,256
10000,9454,9455,4630,4825,3533,1540,1688,3228,305,3090,3137,6227,240
10000,9438,9439,4536,4903,3489,1437,1722,3159,330,3099,3181,6280,231
10000,0,1,1,0,3297,1,0,1,3296,0,0,0,6703
10000,9503,9504,4633,4871,3646,1565,1785,3350,296,3068,3086,6154,200
10000,9492,9493,4613,4880,3338,1451,1630,3081,257,3162,3250,6412,250
10000,9552,9553,4699,4854,3149,1386,1539,2925,224,3313,3315,6628,223
10000,9534,9535,4681,4854,3465,1499,1704,3203,262,3182,3150,6332,203
10000,9517,9518,4655,4863,3300,1414,1604,3018,282,3241,3259,6500,200
10000,0,1,1,0,3473,1,0,1,3472,0,0,0,6527
10000,9510,9511,4725,4786,3443,1521,1640,3161,282,3204,3146,6350,207
10000,9483,9484,4570,4914,3408,1435,1686,3121,287,3135,3228,6363,229
10000,9505,9506,4667,4839,3391,1469,1640,3109,282,3198,3199,6397,212
10000,9527,9528,4689,4839,3217,1386,1579,2965,252,3303,3260,6563,220
10000,9508,9509,4572,4937,3262,1410,1598,3008,254,3162,3339,6501,237
10000,9453,9454,4603,4851,3677,1600,1771,3371,306,3003,3080,6083,240
