num_in_agegroup,latent,total_inf,total_symp,total_asymp,total_vac,total_vac_symp,total_vac_asymp,total_vac_inf,total_vac_healthy,total_unvac_symp,total_unvac_asymp,total_unvac_inf,total_unvac_healthy
10000,9537,9538,4668,4870,3534,1524,1759,3283,251,3144,3111,6255,211
10000,9535,9536,4687,4849,3516,1539,1708,3247,269,3148,3141,6289,195
10000,9475,9476,4677,4799,3448,1484,1681,3165,283,3193,3118,6311,241
10000,9510,9511,4681,4830,3218,1357,1594,2951,267,3324,3236,6560,222
10000,9482,9483,4664,4819,3007,1238,1479,2717,290,3426,3340,6766,227
10000,9529,9530,4707,4823,3043,1342,1468,2810,233,3365,3355,6720,237
10000,9493,9494,4736,4758,3062,1323,1482,2805,257,3413,3276,6689,249
10000,9511,9512,4624,4888,3489,1519,1687,3206,283,3105,3201,6306,205
10000,9520,9521,4653,4868,3112,1354,1503,2857,255,3299,3365,6664,224
10000,9504,9505,4649,4856,3627,1543,1788,3331,296,3106,3068,6174,199
10000,9537,9538,4749,4789,3489,1554,1691,3245,244,3195,3098,6293,218
10000,9510,9511,4739,4772,3444,1510,1678,3188,256,3229,3094,6323,233
10000,9449,9450,4608,4842,3348,1466,1592,3058,290,3142,3250,6392,260
10000,9511,9512,4708,4804,3281,1426,1585,3011,270,3282,3219,6501,218
10000,9521,9522,4671,4851,3228,1404,1562,2966,262,3267,3289,6556,216
10000,9473,9474,4629,4845,3673,1555,1806,3361,312,3074,3039,6113,214
10000,9486,9487,4656,4831,3730,1623,1819,3442,288,3033,3012,6045,225
10000,9447,9448,4683,4765,3154,1354,1512,2866,288,3329,3253,6582,264
10000,9512,9513,4666,4847,3119,1353,1504,2857,262,3313,3343,6656,225
10000,9490,9491,4668,4823,3654,1548,1813,3361,293,3120,3010,6130,216
10000,9487,9488,4644,4844,3683,1547,1834,3381,302,3097,3010,6107,210
10000,9468,9469,4624,4845,3294,1418,1603,3021,273,3206,3242,6448,258
10000,0,1,0,1,3447,0,1,1,3446,0,0,0,6553
10000,9499,9500,4711,4789,3508,1531,1701,3232,276,3180,3088,6268,224
10000,9511,9512,4597,4915,3150,1354,1530,2884,266,3243,3385,6628,222
10000,9482,9483,4643,4840,3616,1584,1745,3329,287,3059,3095,6154,230
10000,9480,9481,4616,4865,3581,1571,1714,3285,296,3045,3151,6196,223
10000,9508,9509,4612,4897,3625,1523,1810,3333,292,3089,3087,6176,199
10000,9477,9478,4639,4839,3557,1549,1729,3278,279,3090,3110,6200,243
10000,4,5,2,3,3555,2,1,3,3552,0,2,2,6443
10000,9467,9468,4632,4836,3145,1338,1514,2852,293,3294,3322,6616,239
10000,9453,9454,4642,4812,3164,1349,1528,2877,287,3293,3284,6577,259
10000,9514,9515,4730,4785,3536,1574,1692,3266,270,3156,3093,6249,215
10000,9542,9543,4658,4885,3365,1443,1656,3099,266,3215,3229,6444,191
10000,9493,9494,4660,4834,3088,1360,1469,2829,259,3300,3365,6665,247
10000,9455,9456,4715,4741,3449,1520,1638,3158,291,3195,3103,6298,253
10000,9540,9541,4713,4828,3196,1397,1544,2941,255,3316,3284,6600,204
10000,9478,9479,4624,4855,3529,1559,1710,3269,260,3065,3145,6210,261
10000,9483,9484,4608,4876,3391,1450,1672,3122,269,3158,3204,6362,247
10000,9471,9472,4576,4896,3095,1319,1507,2826,269,3257,3389,6646,259
10000,9517,9518,4641,4877,3120,1331,1556,2887,233,3310,3321,6631,249
10000,9540,9541,4625,4916,3297,1434,1618,3052,245,3191,3298,6489,214
10000,9471,9472,4718,4754,3694,1644,1769,3413,281,3074,2985,6059,247
10000,9504,9505,4601,4904,3251,1381,1609,2990,261,3220,3295,6515,234
10000,9548,9549,4612,4937,3249,1379,1624,3003,246,3233,3313,6546,205
10000,9558,9559,4721,4838,3398,1517,1638,3155,243,3204,3200,6404,198
10000,9449,9450,4597,4853,3184,1347,1543,2890,294,3250,3310,6560,256
10000,9531,9532,4722,4810,3260,1439,1569,3008,252,3283,3241,6524,216
10000,9499,9500,4675,4825,3498,1558,1656,3214,284,3117,3169,6286,216
10000,9448,9449,4617,4832,3459,1454,1696,3150,309,3163,3136,6299,242
10000,9482,9483,4709,4774,3272,1416,1574,2990,282,3293,3200,6493,235
10000,9485,9486,4675,4811,3088,1353,1476,2829,259,3322,3335,6657,255
10000,9465,9466,4598,4868,3319,1397,1623,3020,299,3201,3245,6446,235
10000,9495,9496,4740,4756,3561,1527,1751,3278,283,3213,3005,6218,221
10000,9485,9486,4549,4937,3526,1546,1714,3260,266,3003,3223,6226,248
10000,9509,9510,4659,4851,3376,1459,1644,3103,273,3200,3207,6407,217
10000,9493,9494,4685,4809,3452,1521,1666,3187,265,3164,3143,6307,241
10000,9523,9524,4646,4878,3249,1424,1571,2995,254,3222,3307,6529,222
10000,9535,9536,4685,4851,3151,1381,1525,2906,245,3304,3326,6630,219
10000,9493,9494,4705,4789,3192,1389,1542,2931,261,3316,3247,6563,245
10000,9497,9498,4609,4889,3393,1455,1666,3121,272,3154,3223,6377,230
10000,9479,9480,4703,4777,3539,1558,1679,3237,302,3145,3098,6243,218
10000,9494,9495,4609,4886,3307,1420,1619,3039,268,3189,3267,6456,237
10000,9453,9454,4600,4854,3577,1522,1750,3272,305,3078,3104,6182,241
10000,9526,9527,4641,4886,3227,1410,1567,2977,250,3231,3319,6550,223
10000,9435,9436,4681,4755,3300,1449,1565,3014,286,3232,3190,6422,278
10000,9491,9492,4702,4790,3194,1434,1514,2948,246,3268,3276,6544,262
10000,9517,9518,4613,4905,3094,1307,1551,2858,236,3306,3354,6660,246
10000,9499,9500,4716,4784,3335,1454,1611,3065,270,3262,3173,6435,230
10000,9425,9426,4629,4797,3399,1460,1610,3070,329,3169,3187,6356,245
10000,9507,9508,4700,4808,3662,1613,1767,3380,282,3087,3041,6128,210
10000,9518,9519,4613,4906,3323,1402,1650,3052,271,3211,3256,6467,210
10000,9459,9460,4697,4763,3294,1429,1571,3000,294,3268,3192,6460,246
10000,0,1,1,0,3255,0,0,0,3255,1,0,1,6744
10000,9484,9485,4696,4789,3569,1582,1695,3277,292,3114,3094,6208,223
10000,9474,9475,4673,4802,3153,1366,1520,2886,267,3307,3282,6589,258
10000,9480,9481,4686,4795,3321,1437,1611,3048,273,3249,3184,6433,246
