90.92	59.52	27.61	15.3	17.82	35.82	54.87	49.73	30.07	20.02	18.21	17.21	12.15	8.65	9.01
22.85	223.8	58.53	14.07	9.3	20.1	31.06	38.04	34.92	17.38	11.31	9.09	6.62	4.58	6.58
4.25	25.35	290.08	47.34	8.92	8.17	12.23	21.05	27.97	17.86	8.54	5.03	2.67	2.51	4.18
3.59	9.25	47.7	300.13	34.58	15.64	12.63	19.11	22.73	29.06	12.51	6.92	2.62	1.99	2.99
9.22	10.04	17.15	88.54	158.19	77.15	56.58	40.95	37.04	45.77	32.99	17.15	6.77	3.77	7.3
19.79	23.74	17.72	41.5	84.18	118.28	81.66	59.06	47.56	45.76	45.97	28.87	13.75	5.92	10.07
27.98	42.83	40.83	31.74	34.89	67.48	104.65	88.97	65.23	42.8	33.5	23.86	15.5	7.7	9.61
22.37	44.22	44.37	30.11	30.24	47.18	66.28	102.6	87.66	52.15	37.15	21.05	17.76	12.12	10.36
22.02	28.39	47.85	52.09	41.65	39.35	55.21	61.44	84.14	61.98	40.43	15.54	11.5	8.11	12.94
11.33	16.95	33.46	74.66	40.53	45.62	52.94	60.05	68.01	84.89	52.58	27.45	12.74	6.7	17.75
9.78	24.54	42.72	51.37	50.47	64.52	52.92	55.67	61.42	68.65	68.43	48.38	22.14	8.31	20.56
13.41	22.4	28.86	38.35	37.52	52.72	63.27	54.61	66.78	60.03	66.95	81.63	34.91	19.68	24.94
15.81	16.0	21.77	21.31	24.42	39.53	56.57	55.14	52.63	40.04	40.22	56.08	48.72	29.63	32.38
8.78	19.19	15.58	14.98	17.0	32.86	39.42	49.47	48.94	31.28	31.3	34.32	37.23	38.2	38.61
17.0	29.51	62.66	62.86	31.59	48.96	56.05	64.34	86.81	89.61	63.42	54.25	60.11	64.1	124.14
