num_in_agegroup,latent,total_inf,total_symp,total_asymp,total_vac,total_vac_symp,total_vac_asymp,total_vac_inf,total_vac_healthy,total_unvac_symp,total_unvac_asymp,total_unvac_inf,total_unvac_healthy
1743,9477,1500,763,737,1133,493,480,973,160,270,257,527,83
1647,4,4,2,2,1120,2,1,3,1117,0,1,1,526
1671,9467,1418,679,739,1203,477,537,1014,189,202,202,404,64
1701,9453,1440,720,720,1225,514,515,1029,196,206,205,411,65
1734,9514,1500,751,749,1231,521,534,1055,176,230,215,445,58
1704,9542,1489,745,744,1244,519,559,1078,166,226,185,411,49
1673,9493,1449,712,737,1087,461,473,934,153,251,264,515,71
1731,9455,1494,734,760,1160,482,507,989,171,252,253,505,66
1702,9540,1469,723,746,1157,491,505,996,161,232,241,473,72
1669,9478,1429,742,687,1118,487,472,959,159,255,215,470,81
1648,9483,1412,666,746,1071,412,493,905,166,254,253,507,70
1700,9471,1469,711,758,1241,514,550,1064,177,197,208,405,54
1688,9517,1478,697,781,1114,460,512,972,142,237,269,506,68
1701,9540,1487,740,747,1174,500,520,1020,154,240,227,467,60
1792,9471,1533,758,775,1290,550,551,1101,189,208,224,432,70
1715,9504,1493,681,812,1252,495,599,1094,158,186,213,399,64
1653,9548,1457,702,755,1190,491,551,1042,148,211,204,415,48
1691,9558,1472,750,722,1133,500,477,977,156,250,245,495,63
1647,9449,1381,650,731,1103,421,501,922,181,229,230,459,85
1716,9531,1483,737,746,1150,483,508,991,159,254,238,492,74
1696,9499,1451,751,700,1238,550,504,1054,184,201,196,397,61
1714,9448,1456,713,743,1217,481,536,1017,200,232,207,439,58
1668,9482,1412,722,690,1184,493,506,999,185,229,184,413,71
1665,9485,1427,717,710,1132,494,478,972,160,223,232,455,78
1683,9465,1438,703,735,1144,475,488,963,181,228,247,475,64
1634,9495,1383,670,713,1127,450,500,950,177,220,213,433,74
1711,9485,1486,721,765,1129,477,507,984,145,244,258,502,80
1717,9509,1487,728,759,1253,524,551,1075,178,204,208,412,52
1673,9493,1433,697,736,1104,463,478,941,163,234,258,492,77
1714,9523,1479,737,742,1166,483,513,996,170,254,229,483,65
1631,9535,1409,702,707,1060,445,466,911,149,257,241,498,73
1684,9493,1457,725,732,1111,461,483,944,167,264,249,513,60
1715,9497,1488,720,768,1200,490,546,1036,164,230,222,452,63
1671,9479,1432,741,691,1186,522,483,1005,181,219,208,427,58
1638,9494,1413,692,721,1097,440,493,933,164,252,228,480,61
1713,9453,1463,710,753,1148,462,501,963,185,248,252,500,65
1724,9526,1511,724,787,1190,495,540,1035,155,229,247,476,58
1720,9435,1457,721,736,1204,496,518,1014,190,225,218,443,73
1743,9491,1505,747,758,1238,530,535,1065,173,217,223,440,65
1775,9517,1555,754,801,1154,478,535,1013,141,276,266,542,79
1652,9499,1425,723,702,1156,491,498,989,167,232,204,436,60
1761,9425,1472,733,739,1197,492,491,983,214,241,248,489,75
1684,9507,1456,720,736,1128,470,489,959,169,250,247,497,59
1679,9518,1454,692,762,1175,460,549,1009,166,232,213,445,59
1705,9459,1460,736,724,1211,528,498,1026,185,208,226,434,60
1738,0,0,0,0,1269,0,0,0,1269,0,0,0,469
1677,9484,1452,727,725,1174,502,497,999,175,225,228,453,50
1725,9474,1482,685,797,1156,462,527,989,167,223,270,493,76
1663,9480,1435,710,725,1197,498,530,1028,169,212,195,407,59
