num_in_agegroup,latent,total_inf,total_symp,total_asymp,total_vac,total_vac_symp,total_vac_asymp,total_vac_inf,total_vac_healthy,total_unvac_symp,total_unvac_asymp,total_unvac_inf,total_unvac_healthy
1677,9485,1446,708,738,1224,493,557,1050,174,215,181,396,57
1689,0,0,0,0,1149,0,0,0,1149,0,0,0,540
1758,9478,1521,739,782,1248,508,556,1064,184,231,226,457,53
1720,9476,1459,716,743,1256,502,559,1061,195,214,184,398,66
1739,9497,1486,754,732,1200,508,509,1017,183,246,223,469,70
1661,9506,1403,675,728,1096,446,468,914,182,229,260,489,76
1631,9522,1423,708,715,1093,474,476,950,143,234,239,473,65
1748,9491,1487,710,777,1171,479,509,988,183,231,268,499,78
1724,9454,1465,709,756,1190,475,521,996,194,234,235,469,65
1699,9438,1426,687,739,1240,491,538,1029,211,196,201,397,62
1679,0,0,0,0,1108,0,0,0,1108,0,0,0,571
1695,9503,1455,714,741,1203,495,522,1017,186,219,219,438,54
1741,9492,1488,707,781,1184,487,525,1012,172,220,256,476,81
1671,9552,1474,749,725,1170,526,507,1033,137,223,218,441,60
1729,9534,1519,749,770,1210,510,540,1050,160,239,230,469,50
1713,9517,1470,713,757,1233,492,548,1040,193,221,209,430,50
1712,0,1,1,0,1250,1,0,1,1249,0,0,0,462
1740,9510,1504,774,730,1201,521,506,1027,174,253,224,477,62
1724,9483,1458,688,770,1172,465,519,984,188,223,251,474,78
1729,9505,1503,729,774,1245,522,558,1080,165,207,216,423,61
1730,9527,1493,744,749,1124,475,491,966,158,269,258,527,79
1681,9508,1459,713,746,1126,488,490,978,148,225,256,481,74
1752,9453,1484,738,746,1244,505,542,1047,197,233,204,437,71
1750,9537,1531,766,765,1172,498,523,1021,151,268,242,510,68
1718,9535,1492,738,754,1237,519,545,1064,173,219,209,428,53
1696,9475,1459,718,741,1153,470,504,974,179,248,237,485,58
1691,9510,1474,696,778,1234,502,568,1070,164,194,210,404,53
1679,9482,1429,652,777,1142,433,524,957,185,219,253,472,65
1702,9529,1489,730,759,1140,481,515,996,144,249,244,493,69
1680,9493,1447,700,747,1092,432,491,923,169,268,256,524,64
1713,9511,1469,736,733,1165,503,483,986,179,233,250,483,65
1644,9520,1427,691,736,1118,461,508,969,149,230,228,458,68
1703,9504,1467,714,753,1226,494,546,1040,186,220,207,427,50
1662,9537,1453,722,731,1163,492,511,1003,160,230,220,450,49
1674,9510,1456,701,755,1205,501,546,1047,158,200,209,409,60
1726,9449,1471,697,774,1208,502,531,1033,175,195,243,438,80
1670,9511,1436,711,725,1136,475,494,969,167,236,231,467,67
1619,9521,1412,670,742,1117,458,512,970,147,212,230,442,60
1718,9473,1486,724,762,1237,514,549,1063,174,210,213,423,58
1659,9486,1421,730,691,1211,527,504,1031,180,203,187,390,58
1661,9447,1374,670,704,1213,484,522,1006,207,186,182,368,80
1643,9512,1421,670,751,1167,462,540,1002,165,208,211,419,57
1701,9490,1460,697,763,1225,483,554,1037,188,214,209,423,53
1711,9487,1463,718,745,1232,514,530,1044,188,204,215,419,60
1633,9468,1387,676,711,1159,476,502,978,181,200,209,409,65
1732,0,1,0,1,1178,0,1,1,1177,0,0,0,554
1642,9499,1418,707,711,1199,508,528,1036,163,199,183,382,61
1702,9511,1456,704,752,1106,434,503,937,169,270,249,519,77
1653,9482,1411,693,718,1091,445,488,933,158,248,230,478,84
1737,9480,1471,720,751,1181,484,507,991,190,236,244,480,76
1747,9508,1535,771,764,1170,494,529,1023,147,277,235,512,65
