65804.7	33212.27	12427.19	7310.99	10574.28	21431.53	32001.04	28529.39	17671.88	11250.66	11914.83	10990.26	9210.58	6715.38	8764.08
20355.19	150709.54	29849.97	7467.96	6145.71	14773.01	21881.39	27134.12	25394.55	11711.61	9215.7	7184.28	6757.44	4833.71	8127.93
5456.51	22744.23	187762.47	32673.02	8078.68	7828.95	11845.41	20052.18	26460.64	17126.99	9451.24	5421.66	3635.87	3552.94	7311.04
3937.99	7932.71	29861.06	196877.67	31638.64	14575.36	11285.63	17453.66	21634.83	26080.4	13398.32	7302.58	3435.23	2772.24	5437.52
7672.83	6227.72	8194.93	44585.11	105778.86	54094.71	37561.82	26899.57	24343.19	30394.64	24812.05	13469.6	6339.33	3690.35	8973.95
16088.66	14461.74	8536.18	19864.76	53821.57	78913.81	52884.81	38260.35	31713.27	29470.74	32448.03	21225.81	12067.56	6008.02	11413.42
24103.34	27148.78	19331.95	15782.57	23308.98	46562.81	69281.35	59662.34	43541.59	29453.36	25590.26	18516.99	14267.29	7586.47	11018.78
18417.83	27292.41	21093.12	14903.3	19848.66	32734.99	43515.11	67849.07	56525.55	35238.4	27720.77	15743.06	16036.88	11575.41	12283.48
18204.72	18655.73	24291.12	26363.01	27227.79	26739.27	36572.99	41237.08	56820.39	41188.7	30405.96	12060.89	11326.24	8018.66	14943.97
9549.49	10289.58	16482.61	36308.61	26568.49	30781.27	34966.37	39685.84	45265.55	55181.81	38835.67	20640.91	12147.88	6332.01	20296.14
7849.54	15195.48	20772.34	25023.63	32770.3	41847.46	34365.68	34631.38	39410.9	43475.75	47365.54	34942.64	18734.62	7818.48	22969.94
10042.56	12746.78	13436.43	18067.11	23592.42	33232.06	38946.41	33689.94	40507.85	36211.28	44461.84	56136.19	29841.62	17149.5	26187.57
10888.17	8564.63	10266.57	10304.27	14810.91	23616.09	33358.03	32253.67	30701.33	24277.5	25169.42	35376.03	37114.65	22994.61	29470.33
6346.52	10681.72	7507.41	7005.74	10356.01	19756.8	23360.35	29318.37	29203.7	19103.22	20153.98	22184.74	28314.76	30595.58	35664.55
12081.35	16572.07	30475.92	32258.91	18837.2	30748.89	32924.12	38251.99	51480.9	53286.2	40534.03	35607.22	45209.32	50377.57	110422.48
