num_in_agegroup,latent,total_inf,total_symp,total_asymp,total_vac,total_vac_symp,total_vac_asymp,total_vac_inf,total_vac_healthy,total_unvac_symp,total_unvac_asymp,total_unvac_inf,total_unvac_healthy
4313,9485,4194,2107,2087,914,407,462,869,45,1700,1625,3325,74
4216,0,0,0,0,1049,0,0,0,1049,0,0,0,3167
4241,9478,4148,2043,2105,771,334,409,743,28,1709,1696,3405,65
4302,9476,4196,2145,2051,768,347,394,741,27,1798,1657,3455,79
4206,9497,4132,2008,2124,739,333,381,714,25,1675,1743,3418,49
4234,9506,4146,2046,2100,763,327,411,738,25,1719,1689,3408,63
4259,9522,4153,2014,2139,1113,486,581,1067,46,1528,1558,3086,60
4212,9491,4112,2044,2068,785,358,403,761,24,1686,1665,3351,76
4226,9454,4115,2044,2071,1062,484,542,1026,36,1560,1529,3089,75
4187,9438,4087,1988,2099,979,425,522,947,32,1563,1577,3140,68
4239,0,1,1,0,892,1,0,1,891,0,0,0,3347
4210,9503,4110,1970,2140,1099,471,593,1064,35,1499,1547,3046,65
4227,9492,4132,2004,2128,980,447,505,952,28,1557,1623,3180,67
4314,9552,4207,2029,2178,874,359,476,835,39,1670,1702,3372,68
4262,9534,4165,2031,2134,1073,465,566,1031,42,1566,1568,3134,55
4278,9517,4194,2038,2156,914,407,482,889,25,1631,1674,3305,59
4220,0,0,0,0,993,0,0,0,993,0,0,0,3227
4232,9510,4137,2073,2064,952,423,490,913,39,1650,1574,3224,56
4218,9483,4127,2002,2125,1039,451,551,1002,37,1551,1574,3125,54
4137,9505,4029,1961,2068,873,377,453,830,43,1584,1615,3199,65
4241,9527,4147,2011,2136,944,419,494,913,31,1592,1642,3234,63
4220,9508,4119,1976,2143,869,383,455,838,31,1593,1688,3281,70
4211,9453,4113,2008,2105,1071,492,549,1041,30,1516,1556,3072,68
4304,9537,4197,2050,2147,1130,498,590,1088,42,1552,1557,3109,65
4244,9535,4141,2052,2089,1044,486,520,1006,38,1566,1569,3135,65
4346,9475,4227,2064,2163,1044,452,559,1011,33,1612,1604,3216,86
4221,9510,4119,2033,2086,851,357,458,815,36,1676,1628,3304,66
4348,9482,4256,2125,2131,789,330,424,754,35,1795,1707,3502,57
4159,9529,4062,2032,2030,770,358,385,743,27,1674,1645,3319,70
4271,9493,4161,2108,2053,802,377,403,780,22,1731,1650,3381,88
4312,9511,4231,2006,2225,1095,489,574,1063,32,1517,1651,3168,49
4288,9520,4188,2049,2139,865,387,435,822,43,1662,1704,3366,57
4320,9504,4207,2068,2139,1174,516,611,1127,47,1552,1528,3080,66
4331,9537,4228,2092,2136,1027,463,536,999,28,1629,1600,3229,75
4289,9510,4173,2089,2084,985,456,492,948,37,1633,1592,3225,79
4256,9449,4136,2034,2102,1000,461,494,955,45,1573,1608,3181,75
4311,9511,4217,2104,2113,900,404,467,871,29,1700,1646,3346,65
4312,9521,4213,2082,2131,847,393,416,809,38,1689,1715,3404,61
4272,9473,4142,1979,2163,1097,449,600,1049,48,1530,1563,3093,82
4216,9486,4098,2001,2097,1129,485,599,1084,45,1516,1498,3014,73
4319,9447,4227,2086,2141,786,355,410,765,21,1731,1731,3462,71
4338,9512,4229,2089,2140,842,382,426,808,34,1707,1714,3421,75
4310,9490,4211,2085,2126,1156,498,618,1116,40,1587,1508,3095,59
4301,9487,4197,2043,2154,1174,490,642,1132,42,1553,1512,3065,62
4312,9468,4201,2053,2148,937,403,502,905,32,1650,1646,3296,79
4261,0,0,0,0,966,0,0,0,966,0,0,0,3295
4240,9499,4133,2048,2085,968,436,492,928,40,1612,1593,3205,67
4188,9511,4091,2019,2072,875,389,460,849,26,1630,1612,3242,71
4269,9482,4169,2050,2119,1146,532,570,1102,44,1518,1549,3067,56
