num_in_agegroup,latent,total_inf,total_symp,total_asymp,total_vac,total_vac_symp,total_vac_asymp,total_vac_inf,total_vac_healthy,total_unvac_symp,total_unvac_asymp,total_unvac_inf,total_unvac_healthy
4298,9480,4193,2032,2161,1158,521,601,1122,36,1511,1560,3071,69
4135,9508,4032,1946,2086,1118,473,587,1060,58,1473,1499,2972,45
4252,9477,4153,1966,2187,1047,453,550,1003,44,1513,1637,3150,55
4186,4,0,0,0,1097,0,0,0,1097,0,0,0,3089
4248,9467,4154,2078,2076,778,363,391,754,24,1715,1685,3400,70
4304,9453,4192,2039,2153,800,349,419,768,32,1690,1734,3424,80
4222,9514,4119,2055,2064,1103,507,557,1064,39,1548,1507,3055,64
4295,9542,4197,2031,2166,991,421,534,955,36,1610,1632,3242,62
4271,9493,4162,2042,2120,779,348,391,739,40,1694,1729,3423,69
4242,9455,4108,2073,2035,1052,492,513,1005,47,1581,1522,3103,87
4257,9540,4162,2085,2077,905,412,459,871,34,1673,1618,3291,61
4198,9478,4087,1932,2155,1139,504,600,1104,35,1428,1555,2983,76
4450,9483,4335,2083,2252,1072,472,564,1036,36,1611,1688,3299,79
4299,9471,4178,2027,2151,774,343,403,746,28,1684,1748,3432,93
4343,9517,4232,2067,2165,903,400,466,866,37,1667,1699,3366,74
4237,9540,4132,2035,2097,907,403,470,873,34,1632,1627,3259,71
4271,9471,4176,2107,2069,1112,515,570,1085,27,1592,1499,3091,68
4268,9504,4164,2053,2111,860,371,456,827,33,1682,1655,3337,71
4234,9548,4140,2007,2133,875,381,465,846,29,1626,1668,3294,65
4249,9558,4153,2044,2109,1087,496,557,1053,34,1548,1552,3100,62
4320,9449,4214,2058,2156,861,386,447,833,28,1672,1709,3381,78
4153,9531,4060,2023,2037,826,380,415,795,31,1643,1622,3265,62
4323,9499,4219,2060,2159,1006,439,530,969,37,1621,1629,3250,67
4232,9448,4124,1983,2141,1020,441,543,984,36,1542,1598,3140,72
4231,9482,4125,2036,2089,829,368,428,796,33,1668,1661,3329,73
4329,9485,4231,2078,2153,813,374,412,786,27,1704,1741,3445,71
4300,9465,4190,2024,2166,902,388,480,868,34,1636,1686,3322,76
4386,9495,4295,2150,2145,1213,526,645,1171,42,1624,1500,3124,49
4280,9485,4172,1997,2175,1161,521,600,1121,40,1476,1575,3051,68
4254,9509,4165,2071,2094,965,430,500,930,35,1641,1594,3235,54
4315,9493,4213,2057,2156,1107,492,576,1068,39,1565,1580,3145,63
4320,9523,4240,2082,2158,850,388,441,829,21,1694,1717,3411,59
4272,9535,4178,2075,2103,844,392,424,816,28,1683,1679,3362,66
4316,9493,4202,2096,2106,955,436,484,920,35,1660,1622,3282,79
4256,9497,4151,2019,2132,985,432,518,950,35,1587,1614,3201,70
4326,9479,4204,2077,2127,1032,449,540,989,43,1628,1587,3215,79
4273,9494,4157,2016,2141,1027,453,531,984,43,1563,1610,3173,73
4197,9453,4080,2006,2074,1157,505,604,1109,48,1501,1470,2971,69
4348,9526,4249,2071,2178,863,385,446,831,32,1686,1732,3418,67
4237,9435,4112,2019,2093,918,393,489,882,36,1626,1604,3230,89
4191,9491,4078,2005,2073,766,349,395,744,22,1656,1678,3334,91
4260,9517,4166,2016,2150,760,331,402,733,27,1685,1748,3433,67
4295,9499,4170,2079,2091,944,419,483,902,42,1660,1608,3268,83
4208,9425,4101,2034,2067,914,411,464,875,39,1623,1603,3226,68
4269,9507,4168,2055,2113,1144,521,578,1099,45,1534,1535,3069,56
4346,9518,4250,2091,2159,1008,454,511,965,43,1637,1648,3285,53
4233,9459,4131,2076,2055,840,386,426,812,28,1690,1629,3319,74
4303,0,0,0,0,820,0,0,0,820,0,0,0,3483
4297,9484,4182,2044,2138,1066,465,557,1022,44,1579,1581,3160,71
4223,9474,4123,2047,2076,761,343,393,736,25,1704,1683,3387,75
4226,9480,4122,2042,2080,939,422,486,908,31,1620,1594,3214,73
